file,label,review_length,avg_word_length,char length,total_ADJS,total_VERBS,total_NOUNS,. count,! count,? count,TTR
0_9.txt,P,165,4.042,806,0.042,0.091,0.194,0.033,0.001,0,0.679
10000_8.txt,P,490,3.957,2366,0.037,0.106,0.149,0.005,0,0,0.544
10001_10.txt,P,177,3.927,841,0.096,0.073,0.175,0.013,0,0,0.765
10002_7.txt,P,144,3.75,663,0.083,0.062,0.132,0.011,0,0,0.702
10003_8.txt,P,140,3.771,647,0.064,0.036,0.129,0.009,0,0,0.711
10004_8.txt,P,210,4.033,1017,0.048,0.105,0.133,0.014,0,0,0.673
10005_7.txt,P,118,4.415,628,0.059,0.11,0.178,0.018,0.002,0,0.755
10006_7.txt,P,442,4.174,2183,0.052,0.081,0.154,0.011,0,0.001,0.7
10007_7.txt,P,501,4.331,2605,0.064,0.106,0.154,0.003,0,0.001,0.576
10008_7.txt,P,375,4.099,1860,0.069,0.096,0.128,0.008,0,0,0.656
10009_9.txt,P,302,4.301,1578,0.036,0.119,0.146,0.008,0.003,0.001,0.656
1000_8.txt,P,97,4,473,0.093,0.062,0.206,0.017,0,0,0.679
10010_7.txt,P,321,4.199,1629,0.072,0.106,0.156,0.009,0,0,0.688
10011_9.txt,P,245,4.192,1250,0.086,0.086,0.155,0.014,0,0,0.639
10012_8.txt,P,163,3.84,770,0.092,0.067,0.153,0.012,0,0,0.59
10013_7.txt,P,182,3.945,875,0.06,0.11,0.143,0.013,0,0,0.704
10014_8.txt,P,225,4.036,1102,0.044,0.102,0.151,0.011,0,0,0.707
10015_8.txt,P,354,4.39,1832,0.059,0.116,0.147,0.006,0.001,0,0.663
10016_8.txt,P,141,4.475,759,0.092,0.071,0.156,0.011,0,0,0.667
10017_9.txt,P,178,3.798,827,0.034,0.067,0.169,0.015,0.002,0,0.613
10018_8.txt,P,253,4.123,1256,0.047,0.075,0.19,0.009,0,0.001,0.704
10019_8.txt,P,657,4.029,3202,0.038,0.111,0.152,0.011,0,0.001,0.544
1001_8.txt,P,199,4.156,994,0.065,0.07,0.136,0.008,0,0,0.747
10020_8.txt,P,218,4.683,1199,0.179,0.087,0.239,0.006,0.001,0,0.842
10021_8.txt,P,175,3.606,771,0.063,0.063,0.154,0.008,0,0.001,0.711
10022_7.txt,P,114,4.342,598,0.061,0.105,0.158,0.008,0,0,0.75
10023_9.txt,P,123,4.48,659,0.073,0.098,0.154,0.009,0,0,0.695
10024_9.txt,P,353,4.023,1729,0.065,0.11,0.164,0.008,0,0.001,0.628
10025_9.txt,P,171,3.585,762,0.111,0.082,0.187,0.014,0,0,0.6
10026_7.txt,P,155,4.4,823,0.097,0.103,0.155,0.01,0,0,0.732
10027_7.txt,P,288,3.559,1268,0.066,0.062,0.128,0.008,0.002,0.003,0.566
10028_10.txt,P,137,3.401,584,0.051,0.088,0.109,0.015,0.005,0,0.673
10029_10.txt,P,180,4.011,880,0.044,0.056,0.133,0.01,0,0,0.617
1002_7.txt,P,193,4.254,985,0.083,0.062,0.228,0.014,0.003,0.001,0.778
10030_10.txt,P,519,3.59,2299,0.064,0.091,0.129,0.014,0,0.002,0.505
10031_10.txt,P,585,3.52,2511,0.05,0.08,0.164,0.017,0.002,0.001,0.559
10032_10.txt,P,64,3.938,305,0.062,0.109,0.219,0.016,0,0,0.82
10033_10.txt,P,354,3.912,1682,0.062,0.107,0.147,0.014,0.001,0.001,0.575
10034_8.txt,P,253,3.846,1193,0.087,0.075,0.138,0.012,0,0,0.635
10035_9.txt,P,398,3.95,1902,0.07,0.068,0.136,0.013,0.001,0.001,0.637
10036_8.txt,P,387,4.336,2033,0.078,0.098,0.176,0.006,0,0,0.526
10037_9.txt,P,197,3.599,868,0.061,0.071,0.178,0.013,0.014,0,0.675
10038_10.txt,P,603,3.983,2928,0.055,0.109,0.131,0.006,0,0.001,0.484
10039_10.txt,P,278,3.878,1319,0.086,0.094,0.151,0.013,0,0,0.616
1003_10.txt,P,125,4.328,652,0.104,0.104,0.16,0.011,0,0,0.716
10040_10.txt,P,362,4.155,1834,0.072,0.058,0.177,0.009,0,0,0.566
10041_10.txt,P,1111,3.914,5313,0.051,0.109,0.172,0.006,0,0.001,0.435
10042_10.txt,P,655,4.388,3417,0.101,0.093,0.191,0.018,0,0,0.62
10043_10.txt,P,100,3.81,467,0.04,0.12,0.15,0.013,0,0,0.761
10044_9.txt,P,1996,4.25,10321,0.048,0.094,0.189,0.007,0,0,0.377
10045_10.txt,P,535,3.751,2442,0.043,0.095,0.155,0.012,0.006,0,0.509
10046_9.txt,P,652,3.781,3005,0.057,0.104,0.132,0.013,0,0,0.512
10047_10.txt,P,211,3.754,973,0.038,0.085,0.171,0.013,0.001,0.002,0.628
10048_10.txt,P,611,3.98,2970,0.054,0.103,0.137,0.015,0,0,0.553
10049_8.txt,P,221,4.158,1120,0.072,0.09,0.154,0.015,0,0,0.665
1004_7.txt,P,821,4.333,4271,0.089,0.093,0.191,0.008,0,0,0.561
10050_10.txt,P,214,3.78,988,0.056,0.07,0.168,0.014,0,0.001,0.672
10051_10.txt,P,181,3.878,863,0.055,0.072,0.193,0.009,0,0,0.663
10052_10.txt,P,66,3.773,302,0,0.121,0.242,0.01,0,0,0.818
10053_8.txt,P,318,3.975,1541,0.075,0.11,0.154,0.01,0.001,0.003,0.649
10054_10.txt,P,114,4.018,550,0.079,0.07,0.193,0.018,0.033,0,0.705
10055_7.txt,P,218,4.477,1148,0.096,0.05,0.161,0.008,0,0,0.711
10056_8.txt,P,144,3.674,661,0.028,0.083,0.153,0.012,0,0,0.617
10057_9.txt,P,244,3.787,1139,0.037,0.123,0.111,0.02,0,0,0.599
10058_7.txt,P,371,4.21,1877,0.089,0.105,0.17,0.007,0,0,0.641
10059_10.txt,P,194,3.851,911,0.072,0.082,0.155,0.016,0,0,0.691
1005_10.txt,P,122,3.91,579,0.107,0.09,0.131,0.01,0,0,0.811
10060_9.txt,P,260,3.896,1235,0.085,0.065,0.208,0.016,0,0,0.615
10061_8.txt,P,123,4.707,684,0.106,0.089,0.228,0.012,0,0,0.734
10062_10.txt,P,112,4.188,564,0.116,0.071,0.116,0.012,0,0,0.77
10063_9.txt,P,142,4.521,765,0.162,0.07,0.169,0.01,0,0,0.71
10064_10.txt,P,218,4.257,1121,0.06,0.138,0.183,0.01,0,0,0.656
10065_9.txt,P,326,4.144,1641,0.067,0.067,0.199,0.005,0.001,0,0.613
10066_10.txt,P,360,3.983,1755,0.067,0.061,0.189,0.006,0,0,0.565
10067_9.txt,P,50,4.6,273,0.06,0.14,0.14,0.011,0,0,0.86
10068_8.txt,P,162,4.068,806,0.105,0.086,0.204,0.011,0,0,0.685
10069_8.txt,P,114,4.86,660,0.105,0.096,0.254,0.008,0,0,0.782
1006_8.txt,P,386,3.992,1866,0.049,0.07,0.181,0.009,0,0.001,0.552
10070_9.txt,P,82,3.817,383,0.049,0.146,0.171,0.01,0,0,0.768
10071_9.txt,P,255,4.204,1295,0.078,0.094,0.208,0.008,0,0,0.651
10072_9.txt,P,129,4.767,729,0.124,0.093,0.171,0.011,0,0,0.837
10073_10.txt,P,284,4.254,1469,0.088,0.085,0.165,0.007,0,0,0.65
10074_9.txt,P,139,4.237,699,0.065,0.058,0.137,0.014,0.001,0,0.786
10075_9.txt,P,139,3.705,631,0.072,0.094,0.173,0.01,0.002,0,0.735
10076_9.txt,P,61,3.656,277,0.115,0.131,0.115,0.014,0,0,0.873
10077_10.txt,P,61,4.426,325,0.066,0.082,0.164,0.012,0,0,0.804
10078_8.txt,P,322,4.189,1616,0.071,0.078,0.189,0.011,0,0.001,0.703
10079_8.txt,P,140,4.171,712,0.086,0.079,0.214,0.011,0,0,0.672
1007_10.txt,P,207,3.618,917,0.058,0.116,0.179,0.013,0.001,0,0.639
10080_10.txt,P,182,4.879,1046,0.088,0.077,0.165,0.004,0,0,0.589
10081_9.txt,P,289,4.384,1515,0.111,0.09,0.197,0.009,0,0,0.566
10082_10.txt,P,88,3.739,404,0.114,0.068,0.17,0.012,0,0,0.714
10083_7.txt,P,228,3.895,1083,0.07,0.088,0.206,0.019,0,0,0.66
10084_10.txt,P,134,3.903,641,0.06,0.097,0.134,0.011,0,0,0.692
10085_10.txt,P,197,3.853,922,0.025,0.056,0.173,0.013,0,0,0.671
10086_7.txt,P,63,3.937,302,0.063,0.079,0.19,0.017,0,0,0.8
10087_10.txt,P,68,4.103,341,0.044,0.088,0.206,0.006,0.003,0,0.857
10088_10.txt,P,118,4.178,593,0.059,0.076,0.229,0.01,0.002,0,0.824
10089_7.txt,P,169,4.018,815,0.041,0.101,0.16,0.01,0,0,0.739
1008_10.txt,P,179,3.788,843,0.056,0.067,0.19,0.006,0.006,0,0.619
10090_8.txt,P,196,4.388,1027,0.092,0.117,0.168,0.007,0,0,0.723
10091_7.txt,P,252,4.286,1295,0.107,0.075,0.163,0.006,0,0,0.732
10092_8.txt,P,125,4.264,646,0.112,0.088,0.16,0.005,0,0,0.746
10093_7.txt,P,203,4.187,1009,0.074,0.079,0.187,0.003,0.001,0,0.756
10094_7.txt,P,668,4.048,3291,0.06,0.061,0.216,0.005,0,0.001,0.521
10095_7.txt,P,194,3.737,883,0.057,0.082,0.144,0.01,0,0,0.662
